,name,link,compensation,employer_name,employer_link,vacancy_address,pub_date
104,Руководитель группы devops Big Data/Эксплуатация,https://hh.ru/vacancy/45909633?query=Data%20science,Не указано,Ozon Информационные технологии,https://hh.ru/employer/2180?dpt=ozonru-2180-dev,Москва,1 июля
105,Senior Product Manager,https://hh.ru/vacancy/45863105?query=Data%20science,Не указано,Elect Hunter,https://hh.ru/employer/4557756,Москва,30 июня
106,Ведущий системный аналитик,https://hh.ru/vacancy/44905153?query=Data%20science,Не указано,Инфосистемы Джет,https://hh.ru/employer/3095,Москва,30 июня
107,Риск-технолог,https://hh.ru/vacancy/45826172?query=Data%20science,Не указано,ID Finance,https://hh.ru/employer/1191643,Москва,2 июля
108,Риск-технолог,https://hh.ru/vacancy/45929643?query=Data%20science,Не указано,ID Finance,https://hh.ru/employer/1191643,Москва,2 июля
109,"C++ Mobile Games Developer, Moscow(remote)",https://hh.ru/vacancy/45253783?query=Data%20science,Не указано,ZeptoLab,https://hh.ru/employer/882115,Москва,1 июля
110,Системный аналитик,https://hh.ru/vacancy/45892589?query=Data%20science,Не указано,SberTech,https://hh.ru/employer/906557,Москва,1 июля
111,Руководитель / Главный аналитик,https://hh.ru/vacancy/45269611?query=Data%20science,Не указано,ID Finance,https://hh.ru/employer/1191643,Москва,1 июля
112,Senior\Lead backend developer (autonomous mobility software),https://hh.ru/vacancy/45589924?query=Data%20science,"('3500', '5500', 'USD')",DATASAKURA,https://hh.ru/employer/3481573,Москва,3 июля
113,Junior software developer C++,https://hh.ru/vacancy/43562429?query=Data%20science,Не указано,Parallels,https://hh.ru/employer/1736538,Москва,2 июля
114,Преподаватель по курсу BI,https://hh.ru/vacancy/45871208?query=Data%20science,Не указано,Ozon Офис и Коммерция,https://hh.ru/employer/2180?dpt=ozonru-2180-commerce,Москва,30 июня
115,Full-stack разработчик в команду разработки торговой системы / инвестиционного портала (Eninvs.com),https://hh.ru/vacancy/45913901?query=Data%20science,"('80000', '80000', 'руб.')",Усиленные Инвестиции,https://hh.ru/employer/4006637,Москва,2 июля
116,Преподаватель Курсов Программирования,https://hh.ru/vacancy/45872705?query=Data%20science,Не указано,Ozon Офис и Коммерция,https://hh.ru/employer/2180?dpt=ozonru-2180-commerce,Москва,30 июня
117,Руководитель группы медиа аналитики,https://hh.ru/vacancy/45900067?query=Data%20science,Не указано,Сбер. Экспертам и руководителям,https://hh.ru/employer/3529?dpt=3529-3529-lead,Москва,1 июля
118,Инженер по данным (Дата-инженер),https://hh.ru/vacancy/42835759?query=Data%20science,Не указано,ФКУ ЦЭАИТ СП,https://hh.ru/employer/122218,Москва,2 июля
119,Software Developer - WEB-based Applications,https://hh.ru/vacancy/43243550?query=Data%20science,Не указано,NXP Semiconductors,https://hh.ru/employer/5900,Москва,3 июля
120,.NET Core Developer,https://hh.ru/vacancy/45700606?query=Data%20science,"('2600', '3200', 'USD')","Focus21, филиал г. Москва",https://hh.ru/employer/5042305,Москва,3 июля
121,Senior Frontend developer - Trade Finance,https://hh.ru/vacancy/43853181?query=Data%20science,Не указано,Deutsche Bank Technology Center,https://hh.ru/employer/1641540,Москва,3 июля
122,Стажер(Дизайнер),https://hh.ru/vacancy/45861898?query=Data%20science,Не указано,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,Москва,30 июня
123,Fullstack developer - Sales Home,https://hh.ru/vacancy/45813929?query=Data%20science,Не указано,Deutsche Bank Technology Center,https://hh.ru/employer/1641540,Москва,2 июля
124,Senior DevOps Engineer,https://hh.ru/vacancy/45080947?query=Data%20science,Не указано,Bell Integrator,https://hh.ru/employer/6189,Москва,30 июня
125,Инженер по данным / Дата-инженер,https://hh.ru/vacancy/42804296?query=Data%20science,Не указано,Счетная палата Российской Федерации,https://hh.ru/employer/3792849,Москва,30 июня
126,Back Office Sales System Administrator,https://hh.ru/vacancy/45860328?query=Data%20science,Не указано,Johnson & Johnson,https://hh.ru/employer/2768,Москва,30 июня
127,Системный инженер по сертификации и тестированию (VMware),https://hh.ru/vacancy/45939391?query=Data%20science,Не указано,YADRO,https://hh.ru/employer/1993194,Москва,2 июля
128,Key Account Manager (ID Collect),https://hh.ru/vacancy/45218463?query=Data%20science,Не указано,ID Finance,https://hh.ru/employer/1191643,Москва,1 июля
129,Senior Android разработчик,https://hh.ru/vacancy/40117060?query=Data%20science,"('250000', '', 'руб.')",ООО    Константа,https://hh.ru/employer/2279941,Москва,2 июля
130,Руководитель направления автоматизации финансовых процессов,https://hh.ru/vacancy/45161043?query=Data%20science,Не указано,ID Finance,https://hh.ru/employer/1191643,Москва,30 июня
131,Руководитель проектов Legal Tech,https://hh.ru/vacancy/45509656?query=Data%20science,Не указано,NAUMEN,https://hh.ru/employer/42600,Москва,1 июля
